,nome,sexo,nascimento,documento,tipo_documento
0,JGMHQBMRJLWTQQRWNQJIPBKYBWKMQFDQXWFCYFZWXWFMZZPJFX,M,2004-01-06,968941492078590,A
1,MZMPEBCVJPSOHUYHZILOWLCIUHFLKCVMZQRRSSWWKZNYRXKRKB,F,2006-07-25,784707068596148,A
2,RCSSIZXWVUJKQCAXIHAKHXGEVMWZBAYFQKTWPWOUEOVNEUSHTC,F,1992-07-05,527252551181275,A
3,LDQKCWKHAUIDQEGDPILUEHMBROVFOUMNZFLSYLMVQOKMMRWTUC,F,2004-08-03,695418611716007,A
4,QZYGDTPFAPAJAPWHZEQBYKURRWWDMTHRQEEBYBKIWCCTNHQEIA,F,2005-11-22,034978141097078,A
6,TWRMEBYXVYBOOQBUDMMUOJTSLUROLWZCKWXXTJQJHAJGVYFAVT,F,1994-12-29,977092981019035,A
7,TWRMEBYXVYBOOQBUDMMUOJTSLUROLWZCKWXXTJQJHAJGVYFAVT,F,1994-12-29,810147024877626,B
7,TWRMEBYXVYBOOQBUDMMUOJTSLUROLWZCKWXXTJQJHAJGVYFAVT,F,1994-12-29,828055235261829,E
8,PDUJTYSZQHNUUTVXTGGJJESBSHYQXGLEGWGYLXYZSJDBXYPTHG,F,1987-11-12,398002443136897,A
8,PDUJTYSZQHNUUTVXTGGJJESBSHYQXGLEGWGYLXYZSJDBXYPTHG,F,1987-11-12,317968082048508,E
13,NLXKYBRIZXZJIPKVORAUUTKYORBPGWPUEOLBOHVNQGFPUANZMF,F,1981-05-14,094884950614220,A
14,WHXCKPSKENTGQWDKNMXTMCFLIJXGOUGWBFVPGIHPPSGRRAFHKI,M,1986-05-19,036551515792333,A
15,QDMJGYEKGHEITWGXOGBWOPLPDHJRTNLPLESMNVQOVADMKFJTOY,M,1990-04-26,600578064012818,A
16,QDMJGYEKGHEITWGXOGBWOPLPDHJRTNLPLESMNVQOVADMKFJTOY,M,1990-04-26,767565464714306,B
16,QDMJGYEKGHEITWGXOGBWOPLPDHJRTNLPLESMNVQOVADMKFJTOY,M,1990-04-26,691997601279414,D
17,CPNNVTHHZJHHDIKGIJFTWFHWELQZJYDNWWDNGUISMUVHCTKESB,M,2009-08-22,067374604675337,A
18,VNLYWPFTQCIDQMENNKPRTOJESDMKUQDLSVLRTVHROOKRDERKEY,F,2007-11-10,541266059421059,A
19,VNLYWPFTQCIDQMENNKPRTOJESDMKUQDLSVLRTVHROOKRDERKEY,F,2007-11-10,142482812547148,B
20,WQNOTFBKZIDEBIVAVTGKFAWTJKKDVJUXHKOBGFZRJGLXFMKRJV,M,1992-09-28,152508697889080,A
20,WQNOTFBKZIDEBIVAVTGKFAWTJKKDVJUXHKOBGFZRJGLXFMKRJV,M,1992-09-28,265352385413800,F
21,WQNOTFBKZIDEBIVAVTGKFAWTJKKDVJUXHKOBGFZRJGLXFMKRJV,M,1992-09-28,882443106429881,B
