,nome,sexo,nascimento,documento,tipo_documento
0,JGMHQBMRJLWTQQRWNQJIPBKYBWKMQFDQXWFCYFZWXWFMZZPJFX,M,2004-01-06,036747368815220,A
1,MZMPEBCVJPSOHUYHZILOWLCIUHFLKCVMZQRRSSWWKZNYRXKRKB,F,2006-07-25,851238418744176,A
2,RCSSIZXWVUJKQCAXIHAKHXGEVMWZBAYFQKTWPWOUEOVNEUSHTC,F,1992-07-05,901993578854630,A
3,LDQKCWKHAUIDQEGDPILUEHMBROVFOUMNZFLSYLMVQOKMMRWTUC,F,2004-08-03,348910643722745,A
4,QZYGDTPFAPAJAPWHZEQBYKURRWWDMTHRQEEBYBKIWCCTNHQEIA,F,2005-11-22,276630730135274,A
5,QZYGDTPFAPAJAPWHZEQBYKURRWWDMTHRQEEBYBKIWCCTNHQEIA,F,2005-11-22,218306111437641,B
6,TWRMEBYXVYBOOQBUDMMUOJTSLUROLWZCKWXXTJQJHAJGVYFAVT,F,1994-12-29,931298496019054,A
7,TWRMEBYXVYBOOQBUDMMUOJTSLUROLWZCKWXXTJQJHAJGVYFAVT,F,1994-12-29,810147024877626,B
8,PDUJTYSZQHNUUTVXTGGJJESBSHYQXGLEGWGYLXYZSJDBXYPTHG,F,1987-11-12,398002443136897,A
9,PDUJTYSZQHNUUTVXTGGJJESBSHYQXGLEGWGYLXYZSJDBXYPTHG,F,1987-11-12,421791500734341,B
10,QQPLLZKXLKGMOPKTLFHJGEXEDQURREAEEXBKMFNHDJLZJQOIOU,F,2001-06-30,338805221567302,A
11,BISIXIOHWVLNQVGPHYRFMXMESDJCIQZUURJIVJQZPNBIBZYLMQ,M,1982-01-06,029712160982554,A
12,BISIXIOHWVLNQVGPHYRFMXMESDJCIQZUURJIVJQZPNBIBZYLMQ,M,1982-01-06,933874437084891,B
13,NLXKYBRIZXZJIPKVORAUUTKYORBPGWPUEOLBOHVNQGFPUANZMF,F,1981-05-14,094884950614220,A
14,WHXCKPSKENTGQWDKNMXTMCFLIJXGOUGWBFVPGIHPPSGRRAFHKI,M,1986-05-19,036551515792333,A
15,QDMJGYEKGHEITWGXOGBWOPLPDHJRTNLPLESMNVQOVADMKFJTOY,M,1990-04-26,600578064012818,A
16,QDMJGYEKGHEITWGXOGBWOPLPDHJRTNLPLESMNVQOVADMKFJTOY,M,1990-04-26,767565464714306,B
17,CPNNVTHHZJHHDIKGIJFTWFHWELQZJYDNWWDNGUISMUVHCTKESB,M,2009-08-22,067374604675337,A
18,VNLYWPFTQCIDQMENNKPRTOJESDMKUQDLSVLRTVHROOKRDERKEY,F,2007-11-10,541266059421059,A
19,VNLYWPFTQCIDQMENNKPRTOJESDMKUQDLSVLRTVHROOKRDERKEY,F,2007-11-10,142482812547148,B
20,WQNOTFBKZIDEBIVAVTGKFAWTJKKDVJUXHKOBGFZRJGLXFMKRJV,M,1992-09-28,152508697889080,A
21,WQNOTFBKZIDEBIVAVTGKFAWTJKKDVJUXHKOBGFZRJGLXFMKRJV,M,1992-09-28,228731438405222,B
22,XSZVRNAHWZYKRQIQOOSVNYYOSEYTAYZUHLXLTFEUWFPQDIYAPN,F,1976-11-11,641401893262670,A
23,XSZVRNAHWZYKRQIQOOSVNYYOSEYTAYZUHLXLTFEUWFPQDIYAPN,F,1976-11-11,935269111375907,B
24,PBACMOLLVAXOFONKHXPEBRMMVMBGYGRQRBQUOQKVNORPYUSVFG,F,1984-02-06,202620531970336,A
25,XGBOTWBZZHASAERFSLWMRKVEKDOPJBYIAOVLUWVWPRGNAJGGXR,M,1970-02-25,425437374520729,A
26,FUUAZLKVXRGSTQFSUXXPWLWPAKRCHSEIYRCAQGJQWLDKKAOYTS,M,1990-11-18,072729995898362,A
27,FUUAZLKVXRGSTQFSUXXPWLWPAKRCHSEIYRCAQGJQWLDKKAOYTS,M,1990-11-18,388427141018938,B
28,BWTRWOXWGRDCEPUFTNLDFWRKGJKXJZBKMZBGSTYFPQFHHVNQLK,F,1988-05-08,726908441933928,A
29,OMSMKXDUCLKUKSUFKASCYGVDDXEDOAETGVUWUHYQPBLTDRNHDN,F,2007-10-20,406833349966454,A
30,OMSMKXDUCLKUKSUFKASCYGVDDXEDOAETGVUWUHYQPBLTDRNHDN,F,2007-10-20,500003923471251,B
31,POSDCAAKLLTWSHHFQLVPESBJQSZMYAYOQSCSCVBPULFEVLAGZG,F,1971-01-14,441252729166503,A
32,POSDCAAKLLTWSHHFQLVPESBJQSZMYAYOQSCSCVBPULFEVLAGZG,F,1971-01-14,351121055712656,B
